,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
87170,10,CASH_IN,61013.08,C847002982,2608142.1,2669155.18,C1303218675,2611336.15,2550323.07,0.0,0.0
178487,12,CASH_IN,170378.26,C2032112539,926223.69,1096601.95,C68058,4653177.75,4870850.14,0.0,0.0
73935,10,CASH_IN,292460.5,C1582312959,1208203.7,1500664.2,C1805037453,913192.6,620732.09,0.0,0.0
138012,11,CASH_IN,284536.32,C1872795720,45328.0,329864.32,C1436637493,3074.81,0.0,0.0,0.0
65111,9,CASH_IN,67880.32,C804080040,488339.34,556219.66,C821277968,226812.28,246760.81,0.0,0.0
109462,11,CASH_IN,141355.31,C1764993692,1329495.72,1470851.04,C2016729324,260432.59,817506.57,0.0,0.0
101862,10,CASH_IN,60436.41,C96374437,10924.0,71360.41,C1059749024,570835.88,53044.31,0.0,0.0
188406,13,CASH_IN,367940.59,C221148764,27484.0,395424.59,C621118463,0.0,0.0,0.0,0.0
6028,6,CASH_IN,9005.13,C243076530,522406.13,531411.26,C673068808,9672.67,667.54,0.0,0.0
31256,8,CASH_IN,270796.78,C544273101,40488.0,311284.78,C281656657,145686.84,0.0,0.0,0.0
104851,10,CASH_IN,282893.81,C274936327,19705937.29,19988831.09,C1326121635,653975.83,537697.52,0.0,0.0
108136,10,CASH_IN,135506.37,C962756510,4106967.92,4242474.29,C510075495,1010150.31,1672746.53,0.0,0.0
29579,8,CASH_IN,56706.13,C525824181,30277.0,86983.13,C1111747867,0.0,0.0,0.0,0.0
30515,8,CASH_IN,116833.46,C422672105,7337827.51,7454660.97,C691620198,413863.2,297029.74,0.0,0.0
64976,9,CASH_IN,40436.53,C615854937,10535135.56,10575572.09,C1661355634,814038.58,892502.72,0.0,0.0
98479,10,CASH_IN,256030.98,C1475460103,8327397.13,8583428.1,C515132998,6294044.58,6483654.87,0.0,0.0
94780,10,CASH_IN,55776.05,C1302369965,4767582.22,4823358.27,C2059316944,208299.69,134010.49,0.0,0.0
139015,11,CASH_IN,42951.31,C1017515656,17863.0,60814.31,C1360650266,0.0,0.0,0.0,0.0
74395,10,CASH_IN,29472.36,C1034959522,3393783.48,3423255.84,C296412386,61463.15,0.0,0.0,0.0
138256,11,CASH_IN,399566.51,C487408488,3550888.04,3950454.54,C1600473963,824945.15,735646.69,0.0,0.0
29027,8,CASH_IN,232691.09,C218828965,143242.08,375933.17,C875761527,1626666.39,1238942.28,0.0,0.0
45439,9,CASH_IN,116418.82,C93903209,3602321.09,3718739.91,C294252921,789634.89,673216.06,0.0,0.0
29662,8,CASH_IN,272888.73,C363692965,7722151.88,7995040.61,C65197494,1004942.78,732054.05,0.0,0.0
159864,12,CASH_IN,98194.43,C1657213261,3395877.06,3494071.49,C27164473,184719.76,159284.04,0.0,0.0
31198,8,CASH_IN,247084.03,C1211259665,5158295.47,5405379.5,C977993101,3620386.87,3373302.83,0.0,0.0
47704,9,CASH_IN,171723.4,C857642809,152992.53,324715.93,C1886311135,19844.0,0.0,0.0,0.0
77921,10,CASH_IN,429266.64,C389605121,2885591.21,3314857.85,C643585161,3233334.76,2197208.32,0.0,0.0
29636,8,CASH_IN,487582.78,C1369808614,2941661.9,3429244.67,C12793273,2403171.17,1918654.56,0.0,0.0
77983,10,CASH_IN,32450.34,C2135385920,10348325.7,10380776.04,C324008649,491549.54,625725.48,0.0,0.0
16394,8,CASH_IN,207523.1,C1316028580,1710960.52,1918483.62,C1640961071,219783.35,0.0,0.0,0.0
21563,8,CASH_IN,198586.63,C1279935117,49900.94,248487.58,C2126925891,10859.0,0.0,0.0,0.0
99360,10,CASH_IN,281943.29,C442861918,10374.0,292317.29,C1958390694,0.0,406265.13,0.0,0.0
139422,11,CASH_IN,178730.97,C1292919229,12297.0,191027.97,C723361279,0.0,0.0,0.0,0.0
122335,11,CASH_IN,106548.69,C1246877868,10033985.46,10140534.15,C949483950,220387.02,113838.33,0.0,0.0
88871,10,CASH_IN,229096.15,C1549325956,131523.0,360619.15,C1258547769,2209153.74,1980057.59,0.0,0.0
169704,12,CASH_IN,316244.22,C949977451,0.0,316244.22,C1620047595,444281.99,342778.7,0.0,0.0
3748,3,CASH_IN,151132.51,C400593724,2191192.95,2342325.45,C1471633238,182382.33,31249.82,0.0,0.0
72959,10,CASH_IN,430181.6,C1974131540,3522494.4,3952676.0,C1232058643,566579.85,0.0,0.0,0.0
54205,9,CASH_IN,47797.2,C1804352751,8736.0,56533.2,C1848270947,2276597.83,2337405.25,0.0,0.0
27837,8,CASH_IN,76362.96,C974484984,4509527.68,4585890.64,C25136566,647346.53,570983.57,0.0,0.0
191617,13,CASH_IN,507775.78,C1369050401,7223120.85,7730896.63,C1745029710,1596717.66,1408126.95,0.0,0.0
67817,9,CASH_IN,538010.78,C875707752,8580008.13,9118018.9,C1197382632,2916584.7,2566968.57,0.0,0.0
142837,11,CASH_IN,154651.7,C988926179,19481141.04,19635792.73,C1029571720,197622.99,42971.29,0.0,0.0
101909,10,CASH_IN,5897.63,C5211601,5610553.2,5616450.83,C395252462,693271.33,1194638.7,0.0,0.0
55807,9,CASH_IN,113492.4,C1347104193,5638015.96,5751508.36,C187805697,219741.43,89264.36,0.0,0.0
124481,11,CASH_IN,32354.94,C375794421,4651661.09,4684016.03,C787839563,3636472.5,3604117.56,0.0,0.0
122380,11,CASH_IN,216657.65,C1954236323,65257.0,281914.65,C1420087647,0.0,0.0,0.0,0.0
116282,11,CASH_IN,168332.58,C704070602,20498.0,188830.58,C1643836634,0.0,0.0,0.0,0.0
170177,12,CASH_IN,48506.98,C2017217867,255330.62,303837.6,C1850099775,10882.0,0.0,0.0,0.0
180725,12,CASH_IN,43257.48,C1272063376,1038.0,44295.48,C440591026,2316697.85,2273440.37,0.0,0.0
134930,11,CASH_IN,219792.72,C332087828,230882.0,450674.72,C385990323,138219.48,0.0,0.0,0.0
191239,13,CASH_IN,135848.43,C166397413,7698707.12,7834555.55,C2145961947,9382186.02,9254052.2,0.0,0.0
162140,12,CASH_IN,14350.01,C915744641,36396.0,50746.01,C943144418,43897.0,0.0,0.0,0.0
191218,13,CASH_IN,131549.69,C163898036,4201623.07,4333172.77,C298092697,1094896.32,963346.63,0.0,0.0
145345,11,CASH_IN,366405.32,C1155556982,1614177.55,1980582.86,C1614017123,842114.92,475709.6,0.0,0.0
192051,13,CASH_IN,339807.58,C1221440524,11119038.43,11458846.01,C1340707077,1179302.2,839494.62,0.0,0.0
97870,10,CASH_IN,373597.74,C1012625770,1012378.78,1385976.52,C928023753,1981004.45,1930596.34,0.0,0.0
124573,11,CASH_IN,65605.02,C1834822734,11895263.62,11960868.65,C1817381850,180175.1,114570.08,0.0,0.0
19633,8,CASH_IN,123732.29,C830619405,6537664.6,6661396.9,C2083562754,15736265.2,18123750.85,0.0,0.0
166350,12,CASH_IN,49586.13,C878422498,9476231.64,9525817.77,C547427396,335188.75,121023.67,0.0,0.0
114322,11,CASH_IN,176564.71,C1948613088,2548262.09,2724826.8,C264685626,251494.64,74929.94,0.0,0.0
52508,9,CASH_IN,341201.23,C2119893093,350.0,341551.23,C1390121014,1545661.89,1229549.48,0.0,0.0
79866,10,CASH_IN,137280.69,C713244674,30005.0,167285.69,C1000649398,0.0,0.0,0.0,0.0
32725,8,CASH_IN,192927.22,C350937574,13061285.22,13254212.43,C2131465140,1139565.13,1204952.54,0.0,0.0
27590,8,CASH_IN,171474.92,C1143274297,3757917.62,3929392.53,C910119139,343755.47,331220.64,0.0,0.0
51642,9,CASH_IN,101165.35,C1462439414,2759620.69,2860786.04,C512589163,136774.98,209504.86,0.0,0.0
104426,10,CASH_IN,485226.71,C711056797,20301.0,505527.71,C967590839,151406.58,655038.24,0.0,0.0
29046,8,CASH_IN,81274.32,C590305056,3196859.7,3278134.02,C1298314970,362539.18,300641.87,0.0,0.0
11921,7,CASH_IN,104588.35,C1841794984,2480115.59,2584703.94,C304528024,111396.64,0.0,0.0,0.0
164443,12,CASH_IN,63182.12,C599219317,3021724.61,3084906.73,C111018678,2183387.18,1759658.59,0.0,0.0
97641,10,CASH_IN,125061.74,C1597193229,7555514.34,7680576.07,C1027286355,1298768.49,1315844.92,0.0,0.0
74241,10,CASH_IN,7757.55,C895458097,1044521.1,1052278.66,C1819271729,72862.42,65104.86,0.0,0.0
97248,10,CASH_IN,333024.8,C1387458310,958314.02,1291338.82,C309985920,606170.85,219559.99,0.0,0.0
21973,8,CASH_IN,294755.11,C256436731,2744939.63,3039694.74,C1134894336,337190.33,42435.22,0.0,0.0
112723,11,CASH_IN,76744.22,C1145437182,11638914.86,11715659.08,C1466490916,196004.1,119259.88,0.0,0.0
39538,9,CASH_IN,77400.89,C1453081679,1148732.0,1226132.88,C1977614404,180069.25,102668.37,0.0,0.0
50879,9,CASH_IN,46909.64,C1758417157,1132.0,48041.64,C806094179,30144.0,0.0,0.0,0.0
145896,11,CASH_IN,115182.81,C6714016,15907061.9,16022244.71,C300047881,193301.44,78118.63,0.0,0.0
167435,12,CASH_IN,67951.19,C451050908,18089787.06,18157738.25,C955958643,25280128.17,26551962.19,0.0,0.0
128908,11,CASH_IN,186992.65,C1470389206,4261354.25,4448346.9,C1476418914,5934357.87,5747365.22,0.0,0.0
132235,11,CASH_IN,186104.61,C1599136948,2761196.39,2947301.0,C1911034248,1173142.5,1529675.14,0.0,0.0
8372,7,CASH_IN,47599.58,C2092225774,413230.0,460829.58,C1672788422,0.0,0.0,0.0,0.0
176380,12,CASH_IN,68509.49,C1678274572,973339.3,1041848.79,C39785010,4637436.31,4777228.78,0.0,0.0
29652,8,CASH_IN,632706.73,C1069338122,6025850.66,6658557.4,C1044472558,763791.57,362563.33,0.0,0.0
153728,12,CASH_IN,62290.87,C1478177900,207628.2,269919.07,C732398219,2213769.64,2151478.77,0.0,0.0
126550,11,CASH_IN,54508.47,C701177242,5535756.61,5590265.08,C1554150767,133418.0,78909.53,0.0,0.0
104505,10,CASH_IN,241848.5,C1776291877,181547.69,423396.19,C675906977,0.0,0.0,0.0,0.0
37199,9,CASH_IN,315612.63,C2119304106,52780.0,368392.63,C66040437,758725.09,47551.99,0.0,0.0
20445,8,CASH_IN,16444.98,C1511345954,1069249.9,1085694.88,C1986647970,32243.73,15798.75,0.0,0.0
67919,9,CASH_IN,114386.55,C1143960444,23540003.39,23654389.94,C2144221230,128358.04,13971.49,0.0,0.0
71862,9,CASH_IN,51605.87,C624129170,3862916.53,3914522.4,C1427427152,305857.03,0.0,0.0,0.0
82815,10,CASH_IN,209286.95,C2082161583,12236536.54,12445823.49,C893663718,1335706.58,731720.09,0.0,0.0
108833,11,CASH_IN,399877.78,C377560700,2703585.81,3103463.59,C1169384430,1496490.37,1096612.59,0.0,0.0
16399,8,CASH_IN,382769.69,C1824827965,2782075.95,3164845.64,C47827984,570100.76,207790.0,0.0,0.0
99026,10,CASH_IN,48876.2,C1976828550,18638.0,67514.2,C532593878,0.0,0.0,0.0,0.0
63666,9,CASH_IN,4792.85,C1526797048,7868813.45,7873606.3,C1984982364,139753.62,277249.39,0.0,0.0
122915,11,CASH_IN,77710.77,C130559422,35181.0,112891.77,C1625687132,1023136.97,945426.2,0.0,0.0
4490,4,CASH_IN,98533.44,C833298023,4744931.34,4843464.78,C1899073220,3208966.39,3028382.15,0.0,0.0
160524,12,CASH_IN,251167.52,C2121531021,517242.09,768409.62,C82175716,718462.48,694765.24,0.0,0.0
145061,11,CASH_IN,177290.25,C513432311,2876035.26,3053325.5,C1661690492,288904.75,371175.22,0.0,0.0
175458,12,CASH_IN,232296.75,C663639890,1080758.95,1313055.7,C311900501,401602.0,169305.25,0.0,0.0
114951,11,CASH_IN,171621.91,C380751252,2501357.56,2672979.47,C1987564320,2694134.66,2522512.75,0.0,0.0
141274,11,CASH_IN,343490.75,C1777461386,10231.0,353721.75,C729616090,397644.07,0.0,0.0,0.0
83790,10,CASH_IN,209307.42,C274251156,6642596.2,6851903.62,C534523205,375837.13,166529.71,0.0,0.0
39036,9,CASH_IN,169788.24,C2045091238,2831469.65,3001257.89,C604555852,576685.21,406896.97,0.0,0.0
183963,13,CASH_IN,402724.62,C838091015,51539.0,454263.62,C219035898,0.0,0.0,0.0,0.0
188581,13,CASH_IN,160360.6,C2110698934,3155290.27,3315650.87,C835028163,538877.31,473838.22,0.0,0.0
148625,12,CASH_IN,93203.03,C506654417,104013.0,197216.03,C56074331,0.0,0.0,0.0,0.0
148947,12,CASH_IN,219932.21,C1002601464,82047.0,301979.21,C463087796,0.0,0.0,0.0,0.0
123141,11,CASH_IN,687085.91,C912227662,2976128.45,3663214.36,C1419857464,1433957.27,746871.36,0.0,0.0
176260,12,CASH_IN,81448.97,C908070104,1293676.2,1375125.18,C1372248421,126949.03,59730.92,0.0,0.0
192565,13,CASH_IN,209453.91,C1236968914,26294.0,235747.91,C579203723,1345402.26,1139317.92,0.0,0.0
105750,10,CASH_IN,635302.88,C1324866321,25792.0,661094.88,C643152776,713768.96,78466.08,0.0,0.0
126557,11,CASH_IN,64340.16,C1635389476,6346415.9,6410756.06,C514268168,4627815.15,4563474.99,0.0,0.0
147200,12,CASH_IN,73621.67,C632136247,4376182.79,4449804.46,C371271246,1132410.39,1450719.44,0.0,0.0
79779,10,CASH_IN,171930.7,C1601568346,11654.0,183584.7,C1390943297,0.0,0.0,0.0,0.0
68006,9,CASH_IN,231465.75,C1362619915,5497.0,236962.75,C1907829879,0.0,0.0,0.0,0.0
16246,8,CASH_IN,290828.02,C810315953,5109465.86,5400293.89,C1504109395,5420618.13,4324988.42,0.0,0.0
43222,9,CASH_IN,231428.77,C913761604,3622898.92,3854327.69,C705480294,1010675.76,779247.0,0.0,0.0
2662,1,CASH_IN,37590.03,C810353241,2702214.59,2739804.62,C884457408,375432.34,84916.82,0.0,0.0
13411,7,CASH_IN,246314.9,C1455793854,3690195.02,3936509.92,C1130075212,416581.0,428409.32,0.0,0.0
153967,12,CASH_IN,16928.45,C316120629,4900536.55,4917465.0,C1094083469,29631.21,410899.05,0.0,0.0
153971,12,CASH_IN,140350.39,C2032719999,5217020.03,5357370.42,C607874855,754574.35,614223.96,0.0,0.0
23777,8,CASH_IN,51185.08,C741793339,5162.0,56347.08,C669419693,1266176.68,4692432.3,0.0,0.0
63779,9,CASH_IN,253938.18,C1753761352,27254026.74,27507964.93,C668345982,1520507.7,875381.22,0.0,0.0
167902,12,CASH_IN,242314.7,C369714236,31008.0,273322.7,C1890507569,492734.26,563946.88,0.0,0.0
76408,10,CASH_IN,58221.8,C67005667,1990828.24,2049050.04,C1044117371,4182229.24,3909495.23,0.0,0.0
119622,11,CASH_IN,182087.59,C877468788,879899.06,1061986.65,C1691419695,4772303.84,4787063.53,0.0,0.0
154706,12,CASH_IN,312223.13,C967606496,102202.0,414425.13,C637802620,54575.19,0.0,0.0,0.0
140056,11,CASH_IN,350444.34,C2134055916,7629192.22,7979636.56,C2017731546,1168129.54,817685.2,0.0,0.0
70706,9,CASH_IN,177828.32,C355701592,11583678.84,11761507.15,C33524623,2820414.68,5104588.13,0.0,0.0
134794,11,CASH_IN,272040.76,C186364670,2063333.01,2335373.77,C1436076289,384226.26,3057696.44,0.0,0.0
80922,10,CASH_IN,40767.44,C678749555,348072.51,388839.95,C426717012,305083.88,264316.44,0.0,0.0
113549,11,CASH_IN,284915.47,C1480515054,20039.0,304954.47,C1098694356,364676.45,79760.98,0.0,0.0
100297,10,CASH_IN,621161.91,C837151561,36676300.71,37297462.62,C1668376627,1933401.45,4364774.85,0.0,0.0
92880,10,CASH_IN,8504.43,C1032985340,7221689.07,7230193.51,C1809291601,115470.0,52012.99,0.0,0.0
148623,12,CASH_IN,10595.84,C1481660149,0.0,10595.84,C919978702,0.0,145027.52,0.0,0.0
87107,10,CASH_IN,271034.68,C1111979944,177.0,271211.68,C252837416,1234451.72,1018492.72,0.0,0.0
116024,11,CASH_IN,725058.88,C43199599,155424.0,880482.88,C1442959476,1591912.41,1202509.38,0.0,0.0
138200,11,CASH_IN,156841.62,C866023183,20411.0,177252.62,C130952738,144396.99,0.0,0.0,0.0
169740,12,CASH_IN,10853.21,C588211270,6243298.54,6254151.75,C493381154,1450038.23,1439185.02,0.0,0.0
66748,9,CASH_IN,173100.96,C529668059,5168334.68,5341435.64,C1310255027,226522.42,53421.47,0.0,0.0
93477,10,CASH_IN,87060.0,C394524685,15364321.57,15451381.57,C225487470,735760.15,102690.85,0.0,0.0
132779,11,CASH_IN,345775.67,C866280050,20978148.59,21323924.26,C1188427220,1530209.81,872064.11,0.0,0.0
120390,11,CASH_IN,181376.35,C1509385025,20462.0,201838.35,C1997447718,0.0,0.0,0.0,0.0
51910,9,CASH_IN,186091.57,C1312702113,4909211.58,5095303.16,C2100440237,751385.68,448901.08,0.0,0.0
145605,11,CASH_IN,91398.21,C1813853071,3351953.92,3443352.13,C2114819378,590397.54,439026.58,0.0,0.0
119652,11,CASH_IN,82794.97,C651373368,291818.0,374612.97,C240010945,257005.27,174210.3,0.0,0.0
148605,12,CASH_IN,337354.56,C1449408464,1065.0,338419.56,C1422584540,44875.64,0.0,0.0,0.0
111479,11,CASH_IN,4892.65,C1737252572,418975.7,423868.35,C1448203337,2174055.52,2139251.18,0.0,0.0
58749,9,CASH_IN,312937.86,C2101338505,13024.97,325962.83,C464496940,326922.68,48416.45,0.0,0.0
178522,12,CASH_IN,19061.1,C986825163,6210806.02,6229867.12,C680344850,1887079.46,3189707.73,0.0,0.0
62625,9,CASH_IN,89035.63,C934041432,2630289.89,2719325.51,C269065934,593215.19,473493.26,0.0,0.0
19230,8,CASH_IN,74620.3,C1364930121,41349.0,115969.3,C807247901,277723.4,2080368.86,0.0,0.0
98400,10,CASH_IN,16480.64,C1200536552,20814.0,37294.64,C766572210,0.0,0.0,0.0,0.0
70562,9,CASH_IN,196637.29,C1113329963,12948289.91,13144927.2,C204788902,318766.38,0.0,0.0,0.0
39179,9,CASH_IN,355940.81,C319508127,2275675.66,2631616.47,C937195105,1497700.87,1372628.46,0.0,0.0
88858,10,CASH_IN,23022.86,C820238845,672896.15,695919.01,C1198167820,296089.2,211562.2,0.0,0.0
637,1,CASH_IN,198847.32,C1088491512,6157562.25,6356409.58,C1023714065,964679.26,1412484.09,0.0,0.0
101931,10,CASH_IN,152168.89,C57470200,8039905.77,8192074.66,C757734131,608596.4,658331.66,0.0,0.0
159594,12,CASH_IN,21808.13,C876977265,2098205.15,2120013.27,C1331535776,2098749.89,2210045.03,0.0,0.0
114319,11,CASH_IN,24891.76,C2021917205,2134710.62,2159602.37,C2004653597,2353280.83,3111374.5,0.0,0.0
45393,9,CASH_IN,224020.42,C799509257,51315.0,275335.42,C154319946,266026.73,42006.31,0.0,0.0
142861,11,CASH_IN,290867.67,C2086687207,22879427.75,23170295.42,C958191492,732783.41,716199.39,0.0,0.0
112606,11,CASH_IN,166197.99,C2118522134,83205.0,249402.99,C1080593804,5433.0,0.0,0.0,0.0
33744,8,CASH_IN,240764.78,C1636124297,5700465.55,5941230.33,C439078113,1886598.11,3626099.55,0.0,0.0
174510,12,CASH_IN,1853.65,C1807938628,7458309.38,7460163.03,C358554852,651644.69,889616.79,0.0,0.0
82218,10,CASH_IN,3258.99,C663708951,6697465.9,6700724.89,C863811613,17351676.65,16836057.78,0.0,0.0
81085,10,CASH_IN,57248.81,C448014061,6415311.13,6472559.94,C353292294,467103.43,409854.62,0.0,0.0
183730,13,CASH_IN,93047.22,C880576328,11229.0,104276.22,C1572112586,3944357.16,4030391.51,0.0,0.0
48235,9,CASH_IN,25552.09,C660258505,10078.0,35630.09,C1542907328,51916.0,0.0,0.0,0.0
153937,12,CASH_IN,124155.39,C1089656021,499258.74,623414.13,C1015529677,347615.8,223460.41,0.0,0.0
156508,12,CASH_IN,195497.67,C1311486189,3877941.77,4073439.44,C2129418295,8741244.44,8545746.77,0.0,0.0
60625,9,CASH_IN,253367.87,C1957324277,150.0,253517.87,C432951450,72189.0,287354.14,0.0,0.0
39102,9,CASH_IN,83063.87,C421735115,51362.0,134425.87,C852033104,17156.3,0.0,0.0,0.0
64893,9,CASH_IN,36274.3,C1222238856,114247.0,150521.3,C1467806809,0.0,0.0,0.0,0.0
48766,9,CASH_IN,31387.03,C1258391204,170933.0,202320.03,C1509170127,0.0,246395.78,0.0,0.0
63173,9,CASH_IN,67476.28,C1335007167,2394267.39,2461743.67,C248125806,251805.96,0.0,0.0,0.0
88454,10,CASH_IN,197934.8,C1364618258,500542.49,698477.28,C114940877,248933.83,50999.03,0.0,0.0
170597,12,CASH_IN,308580.8,C501291866,102204.0,410784.8,C1444733049,786997.34,495915.36,0.0,0.0
38062,9,CASH_IN,106742.92,C91704588,7029.0,113771.92,C574367055,412740.36,0.0,0.0,0.0
70708,9,CASH_IN,118554.14,C939402078,11867718.59,11986272.73,C2013091073,119827.38,1273.23,0.0,0.0
5083,5,CASH_IN,77655.59,C1567719193,3778346.61,3856002.2,C2004013670,107409.0,29753.41,0.0,0.0
61365,9,CASH_IN,71276.97,C701226385,19872.0,91148.97,C1957476230,1136530.97,1269082.35,0.0,0.0
104971,10,CASH_IN,70888.01,C1456665432,1039468.37,1110356.38,C575503305,2342.0,0.0,0.0,0.0
126003,11,CASH_IN,154508.25,C964822361,5473255.58,5627763.82,C2033654379,1128639.18,974130.94,0.0,0.0
93054,10,CASH_IN,47374.4,C808292940,21733.0,69107.4,C1318491599,0.0,0.0,0.0,0.0
104158,10,CASH_IN,308399.69,C1133034949,91506.0,399905.69,C754244871,11844336.26,12241423.34,0.0,0.0
158855,12,CASH_IN,66524.46,C338903334,13135.0,79659.46,C2144373070,0.0,0.0,0.0,0.0
144701,11,CASH_IN,61103.61,C776664410,1272303.42,1333407.02,C435543965,2154167.52,2093063.91,0.0,0.0
107250,10,CASH_IN,157530.93,C1634895910,5205279.29,5362810.22,C853932876,1372340.86,1784052.08,0.0,0.0
167335,12,CASH_IN,132740.0,C414323876,1868575.53,2001315.53,C246900491,193125.56,60385.56,0.0,0.0
148110,12,CASH_IN,315263.01,C389881259,318.0,315581.01,C876652653,217.0,105713.74,0.0,0.0
136700,11,CASH_IN,159713.51,C882184073,2560223.21,2719936.72,C223820500,3504695.8,3865067.43,0.0,0.0
52161,9,CASH_IN,17058.38,C2068625996,4584883.44,4601941.82,C941250063,242213.88,53431.11,0.0,0.0
157084,12,CASH_IN,84038.88,C1180952931,568795.8,652834.69,C1289716559,1046035.82,1037623.07,0.0,0.0
20062,8,CASH_IN,143766.39,C1213887128,334805.68,478572.07,C1147977782,205032.77,61266.39,0.0,0.0
166615,12,CASH_IN,189727.62,C919571128,10903683.86,11093411.49,C407759264,282840.0,93112.38,0.0,0.0
152025,12,CASH_IN,538117.95,C1728819466,6388836.39,6926954.34,C1216254870,880839.37,342721.42,0.0,0.0
119644,11,CASH_IN,43507.54,C1578998817,962133.25,1005640.79,C507654554,4838638.25,4795130.71,0.0,0.0
4470,4,CASH_IN,196821.07,C1590292218,1728770.3,1925591.38,C1711105800,200343.97,3522.9,0.0,0.0
56585,9,CASH_IN,474367.44,C593795296,938014.48,1412381.92,C382934088,2138670.26,1642684.04,0.0,0.0
157682,12,CASH_IN,417622.91,C907429611,43339.0,460961.91,C1874849270,475409.91,4826.3,0.0,0.0
50938,9,CASH_IN,423283.99,C1351908946,711969.06,1135253.06,C481402298,10491801.31,9422037.43,0.0,0.0
66661,9,CASH_IN,31257.13,C582750946,41839.0,73096.13,C417277601,8144.02,0.0,0.0,0.0
65011,9,CASH_IN,20465.76,C1501242650,65151.0,85616.76,C1107546468,223143.91,11247.16,0.0,0.0
77987,10,CASH_IN,152309.08,C1184572546,10998157.32,11150466.4,C1381128261,1094734.03,757930.48,0.0,0.0
17881,8,CASH_IN,441783.08,C298771388,3956879.7,4398662.78,C2083562754,16178048.28,18123750.85,0.0,0.0
16563,8,CASH_IN,132457.29,C170083806,3189765.44,3322222.73,C1554622120,3891355.79,3488994.97,0.0,0.0
111495,11,CASH_IN,45480.57,C800156358,3404997.23,3450477.8,C672137778,1204121.93,1158641.37,0.0,0.0
24785,8,CASH_IN,96820.0,C1102727153,1248779.76,1345599.76,C76005115,192666.05,9082.15,0.0,0.0
109582,11,CASH_IN,270289.76,C1413786269,5737980.31,6008270.06,C1961425714,2719553.43,3059954.38,0.0,0.0
34691,8,CASH_IN,145640.98,C962763921,85007.07,230648.05,C254123095,297493.0,151852.02,0.0,0.0
6650,6,CASH_IN,214086.09,C1303293320,5025008.83,5239094.93,C232834050,248600.0,0.0,0.0,0.0
5671,6,CASH_IN,291681.95,C93720343,527557.73,819239.69,C997608398,297874.5,6192.55,0.0,0.0
168196,12,CASH_IN,35773.38,C1540294603,5071552.49,5107325.87,C555334025,648766.31,27110.0,0.0,0.0
113668,11,CASH_IN,155099.62,C1878871427,14291473.71,14446573.33,C1219248641,1678265.03,1615973.47,0.0,0.0
3675,2,CASH_IN,348792.33,C1240727361,11374178.17,11722970.49,C1262822392,11914710.26,11565917.93,0.0,0.0
92840,10,CASH_IN,70927.96,C1594902113,1423232.09,1494160.05,C1419794148,6042967.15,6407737.1,0.0,0.0
143207,11,CASH_IN,168078.19,C940597042,50368.0,218446.19,C128736076,70146.95,0.0,0.0,0.0
30220,8,CASH_IN,81145.28,C1948507435,1859884.61,1941029.88,C732929236,964287.02,883141.75,0.0,0.0
166572,12,CASH_IN,17360.3,C1300208067,4704811.5,4722171.8,C13459888,472745.7,582037.8,0.0,0.0
140515,11,CASH_IN,201717.8,C700252741,245401.76,447119.56,C522189489,0.0,0.0,0.0,0.0
34316,8,CASH_IN,136942.3,C2029073842,1973641.16,2110583.46,C170503405,381786.39,161573.46,0.0,0.0
